,attrs,label,level,site,tag,text,url
0,{},None,0,fullfact,[document],"{    ""@context"": ""http://schema.org"",    ""@type"": ""NewsArticle"",    ""headline"": ""The &quot;too old to adopt their granddaughter&quot; myth"",    ""datePublished"": ""2015-07-24T17:43:29+01:00"",    ""dateModified"": ""2015-07-24T17:43:29+01:00"",    ""mainEntityOfPage"":{      ""@type"":""WebPage"",      ""@id"":""https://fullfact.org/law/too-old-adopt-their-granddaughter-myth/""    },    ""image"": {      ""@type"": ""ImageObject"",      ""url"": ""https://fullfact.org/media/uploads/ff-wp-files/2015/07/4271147412_3b0056d347_z.jpg"",      ""height"": 630,      ""width"": 1200    },    ""author"": {      ""@type"": ""Person"",      ""name"": ""Conor James McKinney""    },     ""publisher"": {      ""@type"": ""Organization"",      ""name"": ""Full Fact"",      ""logo"": {        ""@type"": ""ImageObject"",        ""url"": ""https://fullfact.org/static/img/schema_logo.png"",        ""width"": 90,        ""height"": 60      }    },    ""description"": ""A widely reported story about a judge refusing to allow a child to live with her grandparents, because th",http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
1,{},None,1,fullfact,html,"{    ""@context"": ""http://schema.org"",    ""@type"": ""NewsArticle"",    ""headline"": ""The &quot;too old to adopt their granddaughter&quot; myth"",    ""datePublished"": ""2015-07-24T17:43:29+01:00"",    ""dateModified"": ""2015-07-24T17:43:29+01:00"",    ""mainEntityOfPage"":{      ""@type"":""WebPage"",      ""@id"":""https://fullfact.org/law/too-old-adopt-their-granddaughter-myth/""    },    ""image"": {      ""@type"": ""ImageObject"",      ""url"": ""https://fullfact.org/media/uploads/ff-wp-files/2015/07/4271147412_3b0056d347_z.jpg"",      ""height"": 630,      ""width"": 1200    },    ""author"": {      ""@type"": ""Person"",      ""name"": ""Conor James McKinney""    },     ""publisher"": {      ""@type"": ""Organization"",      ""name"": ""Full Fact"",      ""logo"": {        ""@type"": ""ImageObject"",        ""url"": ""https://fullfact.org/static/img/schema_logo.png"",        ""width"": 90,        ""height"": 60      }    },    ""description"": ""A widely reported story about a judge refusing to allow a child to live with her grandparents, because th",http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
2,{},None,2,fullfact,head,"{    ""@context"": ""http://schema.org"",    ""@type"": ""NewsArticle"",    ""headline"": ""The &quot;too old to adopt their granddaughter&quot; myth"",    ""datePublished"": ""2015-07-24T17:43:29+01:00"",    ""dateModified"": ""2015-07-24T17:43:29+01:00"",    ""mainEntityOfPage"":{      ""@type"":""WebPage"",      ""@id"":""https://fullfact.org/law/too-old-adopt-their-granddaughter-myth/""    },    ""image"": {      ""@type"": ""ImageObject"",      ""url"": ""https://fullfact.org/media/uploads/ff-wp-files/2015/07/4271147412_3b0056d347_z.jpg"",      ""height"": 630,      ""width"": 1200    },    ""author"": {      ""@type"": ""Person"",      ""name"": ""Conor James McKinney""    },     ""publisher"": {      ""@type"": ""Organization"",      ""name"": ""Full Fact"",      ""logo"": {        ""@type"": ""ImageObject"",        ""url"": ""https://fullfact.org/static/img/schema_logo.png"",        ""width"": 90,        ""height"": 60      }    },    ""description"": ""A widely reported story about a judge refusing to allow a child to live with her grandparents, because th",http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
3,"{'name': 'description', 'content': 'A widely reported story about a judge refusing to allow a child to live with her grandparents, because they were too old, is proved wrong by the judgment. '}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
4,"{'property': 'og:title', 'content': 'The ""too old to adopt their granddaughter"" myth'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
5,"{'property': 'og:url', 'content': 'https://fullfact.org/law/too-old-adopt-their-granddaughter-myth/'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
6,"{'property': 'og:description', 'content': 'A widely reported story about a judge refusing to allow a child to live with her grandparents, because they were too old, is proved wrong by the judgment. '}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
7,"{'property': 'og:image', 'content': 'https://fullfact.org/media/_versions/ff-wp-files/2015/07/4271147412_3b0056d347_z_social_media.jpg'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
8,"{'property': 'og:type', 'content': 'article'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
9,"{'property': 'og:site_name', 'content': 'Full Fact'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
10,"{'name': 'twitter:domain', 'content': 'fullfact.org'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
11,"{'name': 'twitter:card', 'content': 'summary_large_image'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
12,"{'name': 'twitter:title', 'content': 'The ""too old to adopt their granddaughter"" myth'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
13,"{'name': 'twitter:url', 'content': 'https://fullfact.org/law/too-old-adopt-their-granddaughter-myth/'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
14,"{'name': 'twitter:description', 'content': 'A widely reported story about a judge refusing to allow a child to live with her grandparents, because they were too old, is proved wrong by the judgment. '}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
15,"{'name': 'twitter:image', 'content': 'https://fullfact.org/media/_versions/ff-wp-files/2015/07/4271147412_3b0056d347_z_social_media.jpg'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
16,"{'name': 'twitter:site', 'content': '@FullFact'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
